REGION_NUM,REGION_NAME,FOREST_NAME,RANGER_DISTRICT,CITY,STATE,LOCATION,Resource Types,Housing?,NOTES,SITE
5,Pacific Southwest,CLEVELAND,PALOMAR,RAMONA,CA,"RAMONA, CA",,,,http://www.fs.usda.gov/cleveland
5,Pacific Southwest,CLEVELAND,TRABUCO,CORONA,CA,"CORONA, CA",,,,http://www.fs.usda.gov/cleveland
5,Pacific Southwest,ELDORADO,AMADOR,PIONEER,CA,"PIONEER, CA",,,,http://www.fs.usda.gov/eldorado
5,Pacific Southwest,ELDORADO,GEORGETOWN,GEORGETOWN,CA,"GEORGETOWN, CA",,,,http://www.fs.usda.gov/eldorado
5,Pacific Southwest,ELDORADO,PACIFIC,GRIZZLY FLATS,CA,"GRIZZLY FLATS, CA",Engine,YES,,http://www.fs.usda.gov/eldorado
5,Pacific Southwest,ELDORADO,PACIFIC,POLLOCK PINES,CA,"POLLOCK PINES, CA","Helitack, Engine, Hotshot Crew, Type 2/2IA Handcrew (Dedicated 20+person), IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/eldorado
5,Pacific Southwest,ELDORADO,PLACERVILLE,CAMINO,CA,"CAMINO, CA",,,,http://www.fs.usda.gov/eldorado
5,Pacific Southwest,INYO,MAMMOTH,MAMMOTH LAKES,CA,"MAMMOTH LAKES, CA",WFM,YES,,http://www.fs.usda.gov/inyo/
5,Pacific Southwest,INYO,MONO LAKE,JUNE LAKE,CA,"JUNE LAKE, CA",Engine,YES,,http://www.fs.usda.gov/inyo/
5,Pacific Southwest,INYO,MONO LAKE,LEE VINING,CA,"LEE VINING, CA",,,,http://www.fs.usda.gov/inyo/
5,Pacific Southwest,INYO,MT. WHITNEY,INDEPENDENCE,CA,"INDEPENDENCE, CA",,,,http://www.fs.usda.gov/inyo/
5,Pacific Southwest,INYO,MT. WHITNEY,LONE PINE,CA,"LONE PINE, CA",,,,http://www.fs.usda.gov/inyo/
5,Pacific Southwest,INYO,WHITE MOUNTAIN,BISHOP,CA,"BISHOP, CA",,,,http://www.fs.usda.gov/inyo/
5,Pacific Southwest,KLAMATH,GOOSENEST,MACDOEL,CA,"MACDOEL, CA","Engine, WFM, Fuels, Prevention, Tender",YES,,http://www.fs.usda.gov/klamath
5,Pacific Southwest,KLAMATH,HAPPY CAMP,HAPPY CAMP,CA,"HAPPY CAMP, CA","Engine, Type 2/2IA Handcrew, Helitack, Fuels, Prevention",YES,"In addition to barracks, quite a few gov-owned trailer pads",http://www.fs.usda.gov/klamath
5,Pacific Southwest,KLAMATH,HAPPY CAMP,KLAMATH RIVER,CA,"KLAMATH RIVER, CA","Engine, Hotshot Crew, Prevention",YES,,http://www.fs.usda.gov/klamath
5,Pacific Southwest,KLAMATH,HAPPY CAMP,SEIAD VALLEY,CA,"SEIAD VALLEY, CA",Engine,YES,,http://www.fs.usda.gov/klamath
5,Pacific Southwest,KLAMATH,HAPPY CAMP,YREKA,CA,"YREKA, CA",,,,http://www.fs.usda.gov/klamath
5,Pacific Southwest,KLAMATH,SCOTT-SALMON,CALLAHAN,CA,"CALLAHAN, CA",Engine,YES,"Barracks usually have extra space, so Fort Jones will sometimes house guys in Callahan",http://www.fs.usda.gov/klamath
5,Pacific Southwest,KLAMATH,SCOTT-SALMON,CECILVILLE,CA,"CECILVILLE, CA",,,,http://www.fs.usda.gov/klamath
5,Pacific Southwest,KLAMATH,SCOTT-SALMON,FORT JONES,CA,"FORT JONES, CA","Engine, Hotshot Crew, WFM, Rappel, Prevention",YES,Often run out of room; WFM is type 2 as of 2021,http://www.fs.usda.gov/klamath
5,Pacific Southwest,KLAMATH,SCOTT-SALMON,SAWYERS BAR,CA,"SAWYERS BAR, CA","Engine, Hotshot Crew",YES,2021 season has issues with generators powering compound. Salmon River Hotshots have moved to Fort Jones Station (may become a permanet switch). Engine 345 still staffs compound,http://www.fs.usda.gov/klamath
5,Pacific Southwest,LAKE TAHOE BASIN MANAGEMENT UNIT,LAKE TAHOE BASIN MANAGEMENT UNIT,SOUTH LAKE TAHOE,CA,"SOUTH LAKE TAHOE, CA",,,,http://www.fs.usda.gov/ltbmu/
5,Pacific Southwest,LASSEN,ALMANOR,CHESTER,CA,"CHESTER, CA","Engine, Type 2/2IA Handcrew (Dedicated 20+person), Helitack",YES,,http://www.fs.usda.gov/lassen
